possibly_sensitive,author_id,reply_settings,edit_history_tweet_ids,referenced_tweets,id,text,public_metrics.retweet_count,public_metrics.reply_count,public_metrics.like_count,public_metrics.quote_count,public_metrics.impression_count,geo.place_id
False,1562797750965571585,everyone,['1625479577689628678'],"[{'type': 'replied_to', 'id': '1625359194999394305'}]",1625479577689628678,@HELBpage Why is it that my helb status is still under verified stage id no 39252575 si mfanye ile kitu,0,0,0,0,13,
False,1392014918396878848,everyone,['1625479569628094465'],"[{'type': 'replied_to', 'id': '1625476512236584963'}]",1625479569628094465,"@HELBpage @champvin1 JW JW JW JW Nimekuita mara ngapi?
kama helb board hawa ndio imeajiri kazi yenyewe that's why we are suffering but we have come to an end.
Anniversary towers we are coming tomorrow

#JUSTICETOCOMRADES.
#BATCH4529
#HELBMUSTBEPAID
#LATESTTOMMOROW
#BABUOWINOHELB
#JWMUSTGO",2,0,0,0,14,
False,1376981431851888646,everyone,['1625476231687770114'],,1625476231687770114,"while Mama mbogas' &amp; Boda Boda Riders' Government is holding a national prayer day, thousands of innocent souls are being killed in Turkana, many class 8 leavers haven't joined form one yet due to lack of School fee, millions of comrades haven't received their Helb Loan..",0,1,1,0,27,
False,1511963772205907969,everyone,['1625473888032378889'],,1625473888032378889,@HELBpage please review my helb its verified since august las year waiting for allocation,0,0,1,0,10,
False,1412291304868958208,everyone,['1625472801254539271'],"[{'type': 'replied_to', 'id': '1625359194999394305'}]",1625472801254539271,"@HELBpage 😂We understand hamna competitors, does this mean we wait for those shillings for years? C mkuwe na heshima buana. Or maybe there is alot of incompetence and inefficiency in that HELB. Release Comrades fund. Your excuses are even so lame. It Is a shame.",0,0,0,0,10,
False,1625213880354873354,everyone,['1625467967935741952'],"[{'type': 'replied_to', 'id': '1625373173217910784'}]",1625467967935741952,@HELBpage @Vincentpaul019 My helb loan has been in the verification stage since November last year upto now please helb officials do something ID no.38919121,1,0,1,0,19,
False,1623567789339312128,everyone,['1625466042796457985'],,1625466042796457985,Helb must be paid,1,0,0,0,23,
False,1614541314594332679,everyone,['1625459650576482306'],"[{'type': 'replied_to', 'id': '1625359194999394305'}]",1625459650576482306,@HELBpage Hello helb. My loan has been on verified stage for almost five months and I only depends on it for my fees please help,0,0,0,0,30,
False,1577963349329018880,everyone,['1625455420520144896'],"[{'type': 'replied_to', 'id': '1325459503345782784'}]",1625455420520144896,@HEBabuOwino Bro na adi Helb ye2 inadelay adi watu wanaanza kudiffer surely. It staking long for the money to be disbursed kindly help us push for it mkuu..🙏,0,0,0,0,15,
False,1398652473854894081,everyone,['1625453206472994816'],,1625453206472994816,@HELBpage how can I repay my helb back kindly?,0,0,0,0,21,
False,256429702,everyone,['1625451889113399297'],"[{'type': 'replied_to', 'id': '1625447466937028611'}]",1625451889113399297,@HonOtuoma Shall we adopt a HELB-like model in the education support scheme?,0,0,0,0,46,
False,1379068361657712641,everyone,['1625450743418298370'],"[{'type': 'replied_to', 'id': '1624996803337928704'}]",1625450743418298370,"@HELBpage Hey please helb my account has been verified but no batch number allocated 
I'd 39681467",0,0,0,0,22,
False,1599738922887778304,everyone,['1625447659375919140'],"[{'type': 'replied_to', 'id': '1625446201893216257'}]",1625447659375919140,@HELBpage @otinyooo14 please pay this batch today helb am impatient,0,0,0,0,28,
False,1418637401312874500,everyone,['1625445028519677958'],"[{'type': 'replied_to', 'id': '1625359194999394305'}]",1625445028519677958,@HELBpage Helb 4672,0,0,0,0,16,
False,714944153,everyone,['1625443004851838978'],,1625443004851838978,"meraniassociates@gmail.com
-Bookkeeping services 
-VAT and PAYE  filing 
-NHIF ,NSSF ,NITA and HELB submissions 
-CR12 applications 
-Annual returns to the registrar of companies .
- QuickBooks Ksh10,000 
Contact 0746146906
 
#simps",0,0,0,0,27,
