label,score,text
neutral,0.6481809020042419,bodrepublic Chelsea win 01
neutral,0.7919382452964783,ChelseaFC Thiago Silva amp Kante starts Havertz bench So Chelsea VS City UCL semi finals yeah
neutral,0.8665812015533447,CXVCDUCL Live Stream UEFA Champions League AC Milan vs Napoli e httpstcotdqezFOv9r Real Madrid vs Chelsea e httpstcotdqezFOv9r live livestream livefree CXVCX
neutral,0.7923279404640198,ArewaFinext Madrid 2 vs Chelsea 1
neutral,0.8529488444328308,LorettaKrypto Chelsea 1 Real Madrid 2
positive,0.369952917098999,KunDaft ChelseaFC U mumu evrytime chelsea post u first comment pliz look something else life
neutral,0.7403038740158081,BREAKING Todays transfer rumour roundup Liverpool eye Bellingham alternatives Chelsea hold Gavi talks amp much
neutral,0.7244707942008972,Real Madrid VS Chelsea 1st Leg live match httpstcojHNtQ89nwS httpstcoDVHh9DKLsg RealMadridVSChelsea liveevent livematch livesports livestreaming livetv pcmatch onlinewatching soccer soccermatch tvlive eww2
positive,0.8035045266151428,loving chelsea timeline positive tonights madrid game lol
neutral,0.8033520579338074,How Watch Real Madrid vs Chelsea Live Paramount Plus Japan LIVE WATCH httpstcoigiL7xrqwV UCL RealMadrid Chelsea MatchdayLive RMACHE httpstcoeYehiuFd3p
neutral,0.8053467869758606,BODRepubLlc Real Madrid 22 Chelsea
neutral,0.8534018993377686,Team News Thiago Silva NGolo Kante recalled Chelsea XI Real Madrid game httpstcovJccX1Vcgf
neutral,0.742156982421875,GhanaYesu HopeDey52 Real Madrid 00 Chelsea
neutral,0.50788813829422,For money Frank put Chelseas best team pitch httpstco4PpBI4klaI
negative,0.8878495097160339,Chelsea actually squad compete Europe Weird
positive,0.5177710056304932,ChelseaFC God knew gave us two kidneys one health one Chelsea
neutral,0.48659127950668335,Its time come Chelsea
positive,0.628472089767456,Lets fucken go Chelsea COYB
neutral,0.8867108225822449,BODRepubLlc 03 Chelsea
positive,0.7812811732292175,Line macam menarik Come Chelsea
neutral,0.7136744260787964,9Chelseatv Match Real Madrid vs Chelsea Live Stream Chelsea go defending champions tonight travel face Real Madrid Bernabeu Link httpstco2vY1vmXk4k httpstcorBQWmO9Js8
negative,0.5915380120277405,Not always collecting fake fans streets Chelsea anytime I put jersey I dont know jack team
neutral,0.8770438432693481,Real Madrid v Chelsea LIVE 435am AEST Stan Sport Every UCL Match 4K UHD Exclusive amp Adfree The Home UEFA Champions League StanSportAU UCL RMACHE httpstco4adIQyASH9
neutral,0.8338286280632019,dexsportpulse Real Madrid 20 Chelsea Done
neutral,0.699844479560852,How see MilanNapoli Mourinho I wont watch Ill watch RealChelsea httpstco0b8UwtCSUw
neutral,0.863354504108429,Im selling four UCL tickets seated together West Stand Chelsea vs Real Madrid Tuesday April 18th Send message hold interest provide proof tickets details thanks
neutral,0.5871884822845459,I think job quickly get pretty personal Lampard Chelsea 2 This time personal cfc RMACHE httpstcoz47p5OF3ES
neutral,0.5882554054260254,TheCoachrules SportsLine The 11 Chelsea trot eye defend probably touch ball lot horses courses playing reigning champs Real Madrid FYI playing mean get wish
neutral,0.888218104839325,Player booked bet 800pm Real Madrid v Chelsea Ben Chillwell Enzo Fernandez Odds 111 5 returns 60 RealMadridVsChelsea Footballtips httpstcoArv1xUBygN
neutral,0.7778361439704895,OMOYORUBA0 AsiwajuLerry Real Madrid 12 Chelsea
negative,0.917654275894165,FrankKhalidUK Got feeling Chelsea humiliated tonight
neutral,0.5035361051559448,Madrid vs Chelsea Today ebi two things ebi either madrid cook cook dey draw anything today virtual Arts students
negative,0.4311189353466034,There way Chelsea squad looks like oduparaka httpstcoz8nFcHwu6w
neutral,0.5098704099655151,everyday insert player scored goals chelsea headline lol
neutral,0.7392284870147705,Real Madrid VS Chelsea 1st Leg live match httpstcojHNtQ89nwS httpstcoDVHh9DKLsg RealMadridVSChelsea liveevent livematch livesports livestreaming livetv pcmatch onlinewatching soccer soccermatch tvlive rtwet
neutral,0.7995564937591553,Watch Real Madrid vs Chelsea Live Streams On Free httpstcoLzVCs6Ps0e Follow httpstcoLzVCs6Ps0e UEFA Champions League 2023 Quarter Finals AC Milan vs Nap Napoli vs AC Milan UCL RealMadrid ChelseaFC acmilankit httpstcohgFFnYpSko
neutral,0.8277549743652344,Real Madrid vs Chelsea Live Streaming For Champions League 202223 Quarterfinal How Watch Real Madrid vs Chelsea Coverage TV And Online LIVE WATCH httpstcoigiL7xrqwV UCL RealMadrid Chelsea MatchdayLive RMACHE httpstcozlF2eUnOca
neutral,0.7057212591171265,BangEdiii Real Madrid 21 Chelsea Benzema Rodrygo Sterling
neutral,0.6985213160514832,UCL Real Madrid vs Chelsea Predict correct score win special package 3 lucky winners Use hashtag PizzamanTwaNaDi httpstco2kTwS9diD9
neutral,0.7579247355461121,Real Madrid vs Chelsea Live Streaming Link If Stream Stops httpstcoRn6uUwfjGn Real Madrid vs Chelsea Live stream Real Madrid UCL Chelsea Live Love Retweet httpstcooBDCMCjGSV
neutral,0.7940279245376587,Live Match UCL RMACHE ChampionsLeague Real Madrid vs Chelsea Watch httpstcoKKLNTrQb0P Follow FctvPl442 updates stream Please Retweet httpstcov9HqdWojru
neutral,0.6522625684738159,ChelseaCFP Hey DM close show past work make satisfy professional workhit follow back chat
positive,0.4054458737373352,I woke The way I laughed eh Chelsea tire plus trolling httpstcocwtzKiLnSh
negative,0.44351860880851746,QuislingT This Chelsea httpstco4isvLJ12G5
neutral,0.8911995887756348,TrollFootball Camavinga set play left back Madrid vs Chelsea httpstcoK9twJWKPSX
neutral,0.8646854758262634,Regarder RealChelsea ou MilanNaples httpstco2t3OyjN7qS
neutral,0.4810386598110199,Come con Chelsea
neutral,0.45892617106437683,bodrepublic Chelsea go win tonight Na want bet
neutral,0.7004351019859314,Punters Chelsea draw
neutral,0.5389821529388428,I gave kudahelpng necessary stuffs needed 4rm day1 I first asked wait 24hrs 57working days 7working days complete yesterday I still see money Mane Martial Chelsea Osimhen Real Madrid Qatar Sportybet Sevilla Talented Nini Klopp Casemiro
negative,0.5002354383468628,After great prediction last night City would destroy Bayern Chelsea Milan taking wins tonight UCL
neutral,0.7015335559844971,Chelsea stand attention RMACHE UCL httpstcoADyHPFyxxg
positive,0.5752818584442139,CFCDUBois best games watched Chelsea last 3 seasons He moves like newborn calf talking last games Go sit friend
neutral,0.6612148284912109,realmadriden One year ago today Chelsea Madrid met classic UCL quarterfinal second leg Karim Benzema scoring 96thminute header win tie 54 aggregate Today go httpstcoVaxM95vOOB
neutral,0.8474135994911194,RealChelsea httpstcoscYmlUTCtv
neutral,0.7203887701034546,Real Madrid Chelsea OVER 2 5 GOALS RLM bettingtips uefachampionsleague More info httpstco8CiTdPL5ma httpstcoVndOPd2YFK
neutral,0.7483384609222412,OMOYORUBA0 AsiwajuLerry Real Madrid 1 2 Chelsea
neutral,0.6614922881126404,Emily90923472 PSav80287158 CFCPys Which chances Felix chance creator dat front line past weeks Did u watch wolves v Chelsea Did u see sterling creating chance
negative,0.8474787473678589,Champions League Chelsea 10 1 U Chelsea 460 5 U Milan DNB 118 2 U MLB Royals Vs Rangers Un 9 120 1 U Red Vs Braves Un 8 120 1 U Disgusting card lets ride Lets Ride
positive,0.881073534488678,Chelsea great chance tonight If take chances
neutral,0.7308573722839355,Real Madrid VS Chelsea 1st Leg live match httpstcojHNtQ89nwS httpstcoDVHh9DKLsg RealMadridVSChelsea liveevent livematch livesports livestreaming livetv pcmatch onlinewatching soccer soccermatch tvlive erw2
neutral,0.440313458442688,BabaloNdenze Please support team Chelsea
negative,0.6765881776809692,RobinGerrard8 renew513 AnfieldWatch unfortunately might forced stays Chelsea bench unlikely Lampard
neutral,0.4746892750263214,Dont think beat Madrid go beat Man City still blue Come Chels Chelsea CFC
neutral,0.7515630722045898,Watching Real Madrid vs Chelsea
negative,0.4685889482498169,NEW It hard envisage Liverpool adequately redesign midfield without flex financial muscle Mason Mount shaping primary target valued 70m Chelsea lfc melissa reddy sky
