text,referenced_tweets,created_at,possibly_sensitive,author_id,reply_settings,public_metrics.retweet_count,public_metrics.reply_count,public_metrics.like_count,public_metrics.quote_count,public_metrics.impression_count,geo.place_id
"@ImMeme0 Cocaine was wearing off 
“Cocaine is a hell of a Drug”  😆 https://t.co/9ktlzm4z0P",[<ReferencedTweet id=1644107733438693378 type=replied_to],2023-04-07 12:15:06+00:00,False,1524854289461432321,everyone,0,0,0,0,0,
"@UNDERMYSKlNS @mathgalah ZERO certifications and less copies than Lotus &amp; Bionic 

for the record EVEN LOTUS got certifications and glory still ZERO 🗣🗣🗣🗣🗣🗣🗣 https://t.co/Wkpb68JjRN",[<ReferencedTweet id=1644312528703610881 type=replied_to],2023-04-07 12:15:06+00:00,False,1554077283907936256,everyone,0,0,0,0,0,
"Next you see him performing on Yoongi's tour
https://t.co/jeygKGzQUn",,2023-04-07 12:15:06+00:00,False,1342772005255348224,everyone,0,0,0,0,0,
"Jones, the first lawmaker expelled when House members voted to adopt HR65 Thursday, called the resolution ""a spectacle"" and ""a lynch mob assembled to not lynch me, but our democratic process https://t.co/a6QwNxXk50",[<ReferencedTweet id=1644240859196424192 type=quoted],2023-04-07 12:15:06+00:00,False,836593782,everyone,0,0,0,0,0,
Shame on the people https://t.co/ZainsA8Vu8,[<ReferencedTweet id=1644230805693116416 type=quoted],2023-04-07 12:15:06+00:00,False,1392696093318651908,everyone,0,0,0,0,0,
"I advise you reach out to https://t.co/A1CqlLcqh7
Instagram I was having same issues lately, he fixed it for you can reach out to them https://t.co/5Ebbk39acc",[<ReferencedTweet id=1644270220692058113 type=quoted],2023-04-07 12:15:06+00:00,False,1628746420273520642,everyone,0,0,0,0,0,
"Power PM child space short organization road.
#德州 #南通 #扬州 https://t.co/G8fLTxd5IY",,2023-04-07 12:15:06+00:00,False,817783873,everyone,0,0,0,0,0,
"What are some alternative strategies for cost savings that regulators can implement to maximize efficiency and streamline operations? Our team of experts discuss this and more in our latest webinar, presented by @CLEARHQ: https://t.co/14BpcvisPq https://t.co/ZNrXClUiWV",,2023-04-07 12:15:06+00:00,False,2382907549,everyone,0,0,0,0,0,
The only thing in Joe Bidens briefcase https://t.co/kCZvXG8MJt,,2023-04-07 12:15:06+00:00,False,1628923297781137408,everyone,0,0,0,0,0,
"r 
   ice-cream
ops tihe https://t.co/Q1k9Qwu9ra",,2023-04-07 12:15:06+00:00,False,588375423,everyone,0,0,0,0,0,
